funding_entity,count,
"Yes on 25 -  End Predatory & Unfair Money Bail, a coalition of justice reform and labor organizations. Committee major funding from Connie E. Ballmer and affiliated entities, Steven A. Ballmer and affiliated entities and John Arnold.",8,0.02%
California Calls Education Fund,8,0.02%
Center for Community Change Action,8,0.02%
The Committee for Ethical Leadership,8,0.02%
TAKE BACK THE WEST PAC,8,0.02%
Protect Our Winters,8,0.02%
BOXD Marketing,8,0.02%
SF Tenants and Families,8,0.02%
Heroic Hearts Project,8,0.02%
Iowa Secretary of State,8,0.02%
VoteRiders,8,0.02%
New Jersey Department of State - Division of Elections,8,0.02%
SAN DIEGO COUNTY DEMOCRATIC PARTY (FED. ACCT.),8,0.02%
Family Friendly Action Fund,8,0.02%
"Vote Yes on Question 2. Sabrina Neal, Treasurer.",8,0.02%
Joni for Iowa,8,0.02%
Crenshaw For Congress,8,0.02%
"Conservation Ohio and not authorized by any candidate, candidate's committee, or political party",8,0.02%
ALYSE FOR ALASKA,8,0.02%
West Valley Wins,8,0.02%
One APIA Nevada,8,0.02%
United Brotherhood of Carpenters and Joiners of America,8,0.02%
WAYMAKERS,8,0.02%
FOR FLORIDA?? FUTURE P.C,8,0.02%
New Hampshire Republican State Committee,8,0.02%
UNITED STATES ASSOCIATION FOR UNHCR,8,0.02%
AMERICAN JEWISH COMMITTEE,8,0.02%
IGNITE,8,0.02%
Freeform,8,0.02%
Florida Democratic Legislative Campaign Committee,8,0.02%
Environmental Defense Action Fund,8,0.02%
Cox for Governor,7,0.02%
The GOP Shop,7,0.02%
Commonwealth Communications,7,0.02%
"Committee to Save Caltrain, Yes On Measure RR, sponsored by civic and environmental organizations: a coalition of business, labor, and transit advocacy groups. Committee major funding from: Herzog Contracting Corp., John Doerr, HNTB Corporation",7,0.02%
Black Vote PA,7,0.02%
Advancement Project ,7,0.02%
OCEANA ADVOCACY RESOURCES INC,7,0.02%
Judicial Crisis Network,7,0.02%
TEAM RICK SCOTT,7,0.02%
DEMOCRATIC PARTY OF COLLIN CO 2016 FEDERAL COMMITTEE,7,0.02%
LISA BLUNT ROCHESTER FOR CONGRESS,7,0.02%
The Future We Need,7,0.02%
EASTMAN FOR CONGRESS,7,0.02%
Washington Policy Center,7,0.02%
LING LING CHANG FOR SENATE 2020,7,0.02%
Pennsylvania Department of State,7,0.02%
She The People,7,0.02%
Mundell 2020,7,0.02%
"Working Families Organization, Inc",7,0.02%
Just Democracy,7,0.02%
"Yes on 19: Coalition of Firefighters, Realtors, Seniors, Disabled Homeowners, and Wildfire Victims.",7,0.02%
Canvass America,7,0.02%
Jorge None Hernando,7,0.02%
Good Jobs MT,7,0.02%
Donna Shalala for Congress,7,0.02%
"INTER TRIBAL COUNCIL OF ARIZONA, INC.",7,0.02%
Candace for 24 & DCCC,7,0.02%
California Correctional Peace Officers Association Local Political Action Committee,7,0.02%
DAGA PLP,7,0.02%
South Dakota Department of Health,7,0.02%
Progress NC Action,7,0.02%
TFS Inc,7,0.02%
Opportunity Matters Fund,7,0.02%
Conservation International,7,0.02%
Levi's?,7,0.02%
DIAGEO NORTH AMERICA INC.,7,0.02%
Harris County Community Services Department,7,0.02%
American Federation of Government Employees,7,0.02%
The U.S. Chamber of Commerce,7,0.02%
Partnership for Energy Progress,7,0.02%
Every Single Vote,7,0.02%
National Parks Action Fund,7,0.02%
ACLU OF ARKANSAS,7,0.02%
"Environmental Voter Project, Inc.",7,0.02%
Equality California Votes,7,0.02%
Eric Holcomb for Indiana,7,0.02%
Cornyn Majority Texas,6,0.02%
the NRSC and not authorized by any candidate or candidate's committee.,6,0.02%
1199SEIU United Healthcare Workers East,6,0.02%
Republican Party of Iowa,6,0.02%
CAWTHORN FOR NC,6,0.02%
NJ CAN 2020,6,0.02%
Friends of Aftab Pureval,6,0.02%
FreedomWorks Foundation,6,0.02%
Alliance for Justice Action Campaign,6,0.02%
The Wall Street Journal,6,0.02%
 Friends of Brittney Rodas,6,0.02%
Healthcare Equality Network,6,0.02%
BETSY DIRKSEN LONDRIGAN FOR CONGRESS,6,0.02%
American Principles Project,6,0.02%
NALEO Educational Fund,6,0.02%
DIANE FOR COLORADO CD3,6,0.02%
Brave New Look,6,0.02%
Scott Wilk for Senate 2020 FPPC ID#: 1392822,6,0.02%
PEOPLE FOR BEN,6,0.02%
Open Road Homeward,6,0.02%
Bill Gates,6,0.02%
Count Every Vote Project,6,0.02%
BRYNNE KENNEDY FOR CONGRESS,6,0.02%
IAAM,6,0.02%
ReLEntless Defender Apparel,6,0.02%
ELISE FOR CONGRESS,6,0.02%
Gipson for Assembly 2020,6,0.02%
Louisiana Wins,6,0.02%
CONGRESSIONAL PROGRESSIVE CAUCUS PAC,6,0.02%
"Families & Communities Supporting Jackie Lacey for District Attorney 2020, Sponsored by law enforcement organizations.",6,0.02%
ADVOCATES FOR YOUTH INC,6,0.02%
Latina Power Project,6,0.02%
Supermajority,6,0.02%
Invest in Education. (Sponsored by AEA and Stand for Children). Not authorized by any candidate.,6,0.02%
Kate Gallego for Phoenix Mayor,6,0.02%
Louisiana Taxpayer Education Fund,6,0.02%
Opportunity Wisconsin,6,0.02%
"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",6,0.02%
Todd Gloria for Mayor 2020,6,0.02%
PoliceTees.com,6,0.02%
Tim Grayson for Assembly 2020,6,0.02%
VAL DEMINGS FOR CONGRESS,6,0.02%
Tyler Wayne Hedland,6,0.02%
Care in Action,6,0.02%
ADAIR FOR CONGRESS,6,0.02%
Howard F. Ahmanson/Fieldstead & Company. Not authorized by a candidate or a committee controlled by a candidate.,6,0.02%
Working Families Party,6,0.02%
MARYLAND STATE EDUCATION ASSOCIATION,6,0.02%
FORWARD JUSTICE,6,0.02%
STOP 45 PAC,6,0.02%
DEAN PHILLIPS FOR CONGRESS,6,0.02%
HIRAL FOR CONGRESS,6,0.02%
Xochitl for New Mexico,6,0.02%
Credit Union National Association,6,0.02%
"Alliance of California?? Farmers & Ranchers Against Higher Property Taxes, Stop Prop 15",6,0.02%
Paul4PA,6,0.02%
Gregory Lawrence Burright,6,0.02%
Republican Party of Texas,6,0.02%
AFSCME LOCAL 3299 HID,6,0.02%
Montana Hunters and Anglers Leadership Fund,6,0.02%
PA Chamber of Business and Industry,6,0.02%
Hubbard Radio DC,6,0.02%
ROGER FOR WISCONSIN,6,0.02%
FEDERATION FOR AMERICAN IMMIGRATION REFORM,6,0.02%
SPANBERGER FOR CONGRESS,6,0.02%
American Freedom Fund,6,0.02%
COLOR Action Fund,5,0.01%
Friends of Charlie Winburn,5,0.01%
New Florida Majority,5,0.01%
Bill Cassidy for US Senate,5,0.01%
FCTRY,5,0.01%
Connecticut Secretary of the State,5,0.01%
CONTEXTLOGIC INC. ,5,0.01%
REPUBLICAN RED LLC,5,0.01%
California Correctional Peace Officers Association Political Action Committee. This advertisement was not authorized by a candidate or a committee controlled by a candidate.,5,0.01%
"DAVID TRONE FOR CONGRESS, INC",5,0.01%
Marlin & Saltzman,5,0.01%
State of Utah - Office of the Lieutenant Governor,5,0.01%
Wisconsin Right to Life,5,0.01%
Ann Ravel for Senate 2020,5,0.01%
SUNRISE PAC,5,0.01%
Byron Donalds for Congress,5,0.01%
POLITICAL ACTION COMMITTEE OF THE AMERICAN ASSOCIATION OF ORTHOPAEDIC SURGEONS--PAC OF AAOS,5,0.01%
TEXAS ASSOCIATION OF BUSINESS,5,0.01%
DRAIN THE DC SWAMP PAC,5,0.01%
Nevada Conservation League,5,0.01%
OHIO DEMOCRATIC PARTY,5,0.01%
ABBY BROYLES FOR US SENATE,5,0.01%
Friends of Mary Nan Huffman,5,0.01%
California Physicians for Quality Care,5,0.01%
Oklahomans United Against 805,5,0.01%
Working Montana PAC ,5,0.01%
"Eastern PPE Imports, LLC",5,0.01%
Kansas Secretary of State with Facebook Ad Credits,5,0.01%
ALABAMA REPUBLICAN PARTY,5,0.01%
HRBC PAC,5,0.01%
Ultraviolet PAC,5,0.01%
Black Lives Matter Global Network Foundation,5,0.01%
Hillsdale College,5,0.01%
Michelle Steel for Congress,5,0.01%
Safe and Secure America PAC,5,0.01%
Partnership for America's Health Care Future,5,0.01%
Piedmont Rising,5,0.01%
PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,5,0.01%
Power CA Business Account,5,0.01%
"CENTER FOR CONSUMER FREEDOM, THE",5,0.01%
Greater Half,5,0.01%
DELIVER DEMOCRACY,5,0.01%
Law Scout,5,0.01%
DOORDASH INC,5,0.01%
PENNSYLVANIA STATE EDUCATION ASSOCIATION,5,0.01%
SIMA FOR TEXAS,5,0.01%
America?? Future First ,5,0.01%
Planned Parenthood of Illinois,5,0.01%
Minnesota Department of Health,5,0.01%
Innovative Ecomm LLC,5,0.01%
BLUE SENATE PAC,5,0.01%
Consumer Law Group,5,0.01%
JUSTICE DEMOCRATS PAC,5,0.01%
VotePennington.com,5,0.01%
Defend The Lehigh Valley PAC,5,0.01%
Alliance for Safety and Justice,5,0.01%
Wright for Texas,5,0.01%
Friends for Foxx,5,0.01%
Friends of Claudette,5,0.01%
Better Solutions for Healthcare,5,0.01%
Rita Sanders for Legislature ,5,0.01%
French Hill for Arkansas,5,0.01%
"the Michigan Republican Party with regulated funds. Not authorized by any candidate or candidate's committee. 520 Seymour Ave, Lansing MI 48933",5,0.01%
CARTWRIGHT FOR CONGRESS,5,0.01%
TOM REED FOR CONGRESS,5,0.01%
"MORGAN & MORGAN, P.A.",5,0.01%
World Wildlife Fund,5,0.01%
Priorities for Iowa Political Fund,5,0.01%
SHAHEEN FOR SENATE,5,0.01%
San Diego Education Association/Political Action Committee. Committee major funding from: California Teachers Association/Association for Better Citizenship. This advertisement was not authorized by a candidate or a committee controlled by a candidate,5,0.01%
Progress Texas,5,0.01%
Families USA,5,0.01%
"Semper Silkies, LLC",5,0.01%
American Civil Liberties Union of Southern California,5,0.01%
Welcome.,5,0.01%
Fuse Washington,5,0.01%
"Yes on Measure RR - Committee for Safe, Updated, Modernized Schools",5,0.01%
Elevate Prize Foundation Inc,5,0.01%
ASIAN AND PACIFIC ISLANDER AMERICAN VOTE INC,5,0.01%
Phillip Chen for Assembly 2020,5,0.01%
United Domestic Workers of America,5,0.01%
Omar Rivero,5,0.01%
CONSERVATION MINNESOTA,5,0.01%
National Union of Healthcare Workers,5,0.01%
The Montana Democrats,5,0.01%
Independent Financial ,5,0.01%
Julia Maldonado Campaign,5,0.01%
Committee to Unleash Prosperity Inc.,5,0.01%
Committee to Elect Shemia Fagan,5,0.01%
American Strong LLC,5,0.01%
Planned Parenthood Advocates of Montana PAC ,5,0.01%
Get Moving,5,0.01%
Project Ready,5,0.01%
JEFF MERKLEY FOR OREGON,5,0.01%
"CASA DE MARYLAND, INC.",5,0.01%
New Direction New Jersey,5,0.01%
Home Builders Association of Central Arizona,5,0.01%
Texas Bipartisan Justice Committee,5,0.01%
Learn Our History,5,0.01%
NATIONAL WILDLIFE FEDERATION,5,0.01%
PROTECTING OUR VOTE PAC,5,0.01%
Water for Colorado Coalition,5,0.01%
SCANLON FOR CONGRESS,5,0.01%
Make the Road Action,5,0.01%
"Build Bridges, Not Walls Opposing Republican Kristin Gaspar for Supervisor 2020",5,0.01%
Dream Defenders Fight PAC,4,0.01%
Friends of Wendy Ullman,4,0.01%
Committee to Keep Justice Whitener,4,0.01%
Elect Educators Everywhere,4,0.01%
"The Common Ground Project, Inc",4,0.01%
Denver Commits to Kids,4,0.01%
"GLOBAL POVERTY PROJECT, INC.",4,0.01%
TOP Political Action Committee,4,0.01%
CA Census 2020,4,0.01%
Silver State Equality,4,0.01%
OpenCalNow,4,0.01%
Wisconsin State Senate Democratic Committee,4,0.01%
KATHLEEN RICE FOR CONGRESS,4,0.01%
VICTORIA SPARTZ FOR CONGRESS,4,0.01%
Conservatives Acting Together,4,0.01%
Mackinac Center for Public Policy,4,0.01%
American Encore,4,0.01%
Iowa Values,4,0.01%
AMMAR CAMPA-NAJJAR FOR CONGRESS,4,0.01%
DEPASQUALE FOR PA 10,4,0.01%
NCAAT in Action,4,0.01%
Friends of Tom Jackson,4,0.01%
MICHAEL WALTZ FOR CONGRESS,4,0.01%
Dr. Shelley Lenz for North Dakota Governor 2020,4,0.01%
Project War Path,4,0.01%
Wilkin for Judge,4,0.01%
Comedy Central,4,0.01%
"Million Voter Project Action Fund ??Yes on 15, Sponsored by Social Justice Organizations. Committee major funding from: Yes on 15 - Schools and Communities First Sponsored by a Coalition of Labor Groups and Social Justice Organizations Representing Families, Students and Essential Workers, California Calls Education Fund, Heising-Simons Action Fund",4,0.01%
"SAVE THE CHILDREN FEDERATION, INC.",4,0.01%
INDIANA STATE TEACHERS ASSOCIATION,4,0.01%
Friends of Jill Dennin,4,0.01%
VAN ORDEN FOR CONGRESS,4,0.01%
"Karla Dennis & Associates, Inc",4,0.01%
"In Our Own Voice: National Black Women's Reproductive Justice Agenda, a non-partisan 501(c)(3) organization to lift up the voices of Black women on policy issues.",4,0.01%
UNITED WE DREAM NETWORK INC,4,0.01%
The FAMiLY LEADER,4,0.01%
DEFENDERS OF WILDLIFE,4,0.01%
The Republican Party of Texas - Victory Program,4,0.01%
Prairie Fire,4,0.01%
The Climate Reality Project,4,0.01%
Dallas Votes 4 Kids,4,0.01%
KANSANS FOR MARSHALL,4,0.01%
More Treatment for a Better Oregon: Yes on 110,4,0.01%
SCHUPP FOR CONGRESS,4,0.01%
Shaw for PSC ,4,0.01%
KATE FOR CONGRESS,4,0.01%
Gillibrand for Senate,4,0.01%
Sesame Workshop,4,0.01%
Texas Rising,4,0.01%
Turning Point USA,4,0.01%
CALIFORNIA REPUBLICAN PARTY FEDERAL ACCT.,4,0.01%
"ACCURACY IN MEDIA, INC",4,0.01%
Kevin Kiley for Assembly,4,0.01%
Clean Energy Transition Project,4,0.01%
Friends of Christina Henderson,4,0.01%
Scott Milne for Vermont,4,0.01%
Business Forward Inc.,4,0.01%
"WFW ACTION FUND, INC.",4,0.01%
Planned Parenthood of the Pacific Southwest,4,0.01%
"NEXTGEN CLIMATE ACTION COMMITTEE, 628-208-0650, and LCV VICTORY FUND, 202-785-8683, and not authorized by any candidate or candidate?? committee.",4,0.01%
Fight For The Base,4,0.01%
We Welcome Refugees,4,0.01%
"Tommy Hilfiger U.S.A., Inc.",4,0.01%
"Million Voter Project Action Fund ??Yes on 15, Sponsored by Social Justice Organizations. Committee major funding from California Calls Education Fund, Chan Zuckerberg Initiative Advocacy, East Bay Community Foundation",4,0.01%
FENIX CONTRACTING INC,4,0.01%
Turning Point Action ,4,0.01%
Tony for Wisconsin,4,0.01%
Mast for Congress,4,0.01%
TRUE KENTUCKY PATRIOTS,4,0.01%
The New York Public Library,4,0.01%
"Mars Wrigley Confectionery US, LLC",4,0.01%
CITIZENS FOR SAFE ACCESS 2020,4,0.01%
"California Alliance for Progress and Education Committee - major funding from California Association of Realtors, California Building Industry Association, California Correctional Peace Officers Association.",4,0.01%
William Junior Vasquez,4,0.01%
AIrMedCare Network,4,0.01%
Patients for Affordable Drugs Now,4,0.01%
LIFE Outreach International ,4,0.01%
THOM TILLIS COMMITTEE,4,0.01%
MAINE DEMOCRATIC PARTY,4,0.01%
Be Change Now,4,0.01%
"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AM",4,0.01%
Montgomery Countians For A & Against B,4,0.01%
FREEDOMWORKS FOR AMERICA,4,0.01%
STATE DEMOCRATIC EXECUTIVE COMMITTEE OF ALABAMA,4,0.01%
"FREEDOMWORKS, INC.",4,0.01%
"County of Santa Clara, Office of the Census",4,0.01%
Live Action News,4,0.01%
Better Future MI Fund,4,0.01%
Sara Jacobs for Congress,4,0.01%
TAKE ACTION MINNESOTA,4,0.01%
Killion Victory Committee,4,0.01%
Breakthrough Energy,4,0.01%
"Conservative Clergy of Color, Inc",4,0.01%
AMERICAN JOBS AND GROWTH PAC,4,0.01%
Access Reproductive Care-Southeast,4,0.01%
"Hilco Redevelopment, LLC",4,0.01%
PARALYZED VETERANS OF AMERICA,4,0.01%
HOLD THE HOUSE PAC,4,0.01%
Illinois House Republican Organization,4,0.01%
JASON SMITH FOR CONGRESS,4,0.01%
Integrity First Voter Action Project,3,0.01%
Colorado River Water Conservation District,3,0.01%
Tango Tango Inc,3,0.01%
Vote By Mail PAC,3,0.01%
Faith in Public Life Action,3,0.01%
"Diedre Nguyen for Assembly 2020, ID #1421331",3,0.01%
COMMITTEE OF SEVENTY,3,0.01%
National Geographic Society,3,0.01%
NEW HAMPSHIRE DEMOCRATIC PARTY,3,0.01%
CISNEROS FOR CONGRESS,3,0.01%
TIDAL,3,0.01%
One Nation,3,0.01%
Texas Public Policy Foundation,3,0.01%
DAGA INDIVIDUAL PAC,3,0.01%
UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,3,0.01%
N-Hance Inc.,3,0.01%
Tony Gonzales for Congress,3,0.01%
HUMAN RIGHTS CAMPAIGN EQUALITY VOTES,3,0.01%
Coalition of Minnesota Businesses,3,0.01%
"Geraldine Thompson, Democrat, for Florida House of Representatives District 44.",3,0.01%
New York City Campaign Finance Board,3,0.01%
Van Drew for Congress,3,0.01%
Ohioans for Secure Elections,3,0.01%
Going Solar,3,0.01%
Rural Arizona PAC,3,0.01%
Carrie Buck for State Senate 5,3,0.01%
Friends of Justice Ken Wise,3,0.01%
Mask Exemption Cards,3,0.01%
Telemundo Digital Media,3,0.01%
Championing America at Her Best,3,0.01%
"Stand Up To China, Inc.",3,0.01%
SENATE CONSERVATIVES FUND,3,0.01%
Southern Strategy,3,0.01%
Hamilton County Republican Party,3,0.01%
Defend Alaska,3,0.01%
Gun Owners of America,3,0.01%
"WATERFURNACE INTERNATIONAL, INC.",3,0.01%
The Conservative Institute,3,0.01%
"Public Opinion Research Group, Inc",3,0.01%
Smucker for Congress,3,0.01%
FRIENDS OF JAIME CASTLE,3,0.01%
ACLU of Florida,3,0.01%
Maricopa County Elections Department,3,0.01%
DEMOCRATIC PARTY OF VIRGINIA,3,0.01%
Citizens Against Nuclear Bailout,3,0.01%
Human Coalition,3,0.01%
PAC FOR A CHANGE,3,0.01%
FRANCISCAN ACTION NETWORK,3,0.01%
SCHOLTEN4IOWA CAMPAIGN COMMITTEE,3,0.01%
AMERICAN LUNG ASSOCIATION,3,0.01%
STATE VOICES,3,0.01%
US Craft Brands LLC,3,0.01%
HORIZON FOUNDATION OF HOWARD COUNTY,3,0.01%
SECOND HARVEST HEARTLAND,3,0.01%
Citizens for a Responsible Denver,3,0.01%
 CELINA FOR TEXAS,3,0.01%
RISE INDY PAC,3,0.01%
Damien Victor Moran,3,0.01%
Patriot Polling,3,0.01%
City of Mesa,3,0.01%
HOUSE FREEDOM FUND,3,0.01%
Mississippians for Compassionate Health Care,3,0.01%
"Support Our Schools - Yes on J  Committee major funding from  Philip Halperin ($50,000)  Sara Morshige Williams ($50,000)  Evan Williams ($50,000)  Financial disclosures are available at sfethics.org",3,0.01%
Community Plus,3,0.01%
Independent Women's Voice,3,0.01%
MARCH OF DIMES INC.,3,0.01%
My Pride Apparel,3,0.01%
One Nation Design,3,0.01%
MONTANA REPUBLICAN STATE CENTRAL COMMITTEE,3,0.01%
Reform Austin Inc. ,3,0.01%
True Coverage,3,0.01%
Civiqs,3,0.01%
CITIZENS IN CHARGE FOUNDATION,3,0.01%
CALIFORNIA DEMOCRATIC PARTY,3,0.01%
City of Philadelphia,3,0.01%
Texas For De La Fuente,3,0.01%
Goroff for Congress,3,0.01%
Chris Stavros for Assessor,3,0.01%
IVote Civic Education Fund,3,0.01%
"FOOD BANK OF CENTRAL & EASTERN NORTH CAROLINA, INC.",3,0.01%
American Action News,3,0.01%
FRIENDS OF JIM INHOFE,3,0.01%
Mike Causey Campaign,3,0.01%
SiriusXM,3,0.01%
Tom Fabricio for State Representative,3,0.01%
Spotify USA Inc,3,0.01%
Pearl Jam,3,0.01%
Californians for Kidney Dialysis Patient Protection,3,0.01%
"Yes on Amendment B, Bernie Buescher, Registered Agent. ",3,0.01%
"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",3,0.01%
Kansas Values Institute ,3,0.01%
"FAITH IN FLORIDA, INC.",3,0.01%
JDRF INTERNATIONAL,3,0.01%
Xavier Ethan Brown,3,0.01%
Parents for Great Schools,3,0.01%
Keep Property Taxes Low,3,0.01%
LEAGUE OF WOMEN VOTERS OF THE UNITED STATES,3,0.01%
The Future We Want. Major Funding by Citizens for Accountable Government. Not authorized by any candidate.  ,3,0.01%
Nicole Galloway for Missouri,3,0.01%
Scott Taylor for Congress 2020,3,0.01%
Ann Johnson Campaign,3,0.01%
League of Women Voters Education Fund,3,0.01%
Yes on 18 - Vote for Our Future,3,0.01%
Alaina Shearer for Congress,3,0.01%
COLORADO RISING PAC,3,0.01%
Nevada Health Link,3,0.01%
American Medical Political Action Committee,3,0.01%
Montana Women Vote,3,0.01%
Duval Citizens For Better Schools,3,0.01%
FRIENDS OF DICK DURBIN COMMITTEE,3,0.01%
RESOURCES LEGACY FUND,3,0.01%
Citizens for Transparency and Inclusion,3,0.01%
JACKIE GORDON FOR CONGRESS,3,0.01%
Jacobin Foundation,2,0.01%
Advance Carolina,2,0.01%
Tri-State Generation Transmission Association Inc,2,0.01%
LIBERTY SC,2,0.01%
Forward Montana Foundation,2,0.01%
"FCB WE, DE&I Community of The FCB Health Network",2,0.01%
DEBORAH ROSS FOR CONGRESS,2,0.01%
Beware of B,2,0.01%
Asian Pacific Islander Political Alliance,2,0.01%
Project Pulso,2,0.01%
Comcast,2,0.01%
COMMON JUSTICE INC,2,0.01%
USA Health Baldwin,2,0.01%
Pennsylvania Department of Labor & Industry,2,0.01%
Cook County Democratic Party,2,0.01%
Friends of Rob Astorino,2,0.01%
ANDY KIM FOR CONGRESS,2,0.01%
Virginia Department of Elections,2,0.01%
"Cleveland's Future Fund, LLC",2,0.01%
Voto Latino with Facebook Ad Credits,2,0.01%
"Bob Cortes, Republican, for State Representative",2,0.01%
"FOODFINDER, INC.",2,0.01%
Detectives' Endowment Association,2,0.01%
866 Our Vote,2,0.01%
Higher Heights For America PAC. Not authorized by any candidate or candidate?? committee.,2,0.01%
K.C. Tomlinson for State Representative,2,0.01%
Great American Era LLC,2,0.01%
"Planned Parenthood Arizona, Inc.",2,0.01%
TFN PAC,2,0.01%
"Citizens for Affordable Housing-No on C, Sponsored by the California Apartment Association",2,0.01%
Committee to Elect Yvonne Lewis Holley,2,0.01%
Office of Congressman Dan Newhouse,2,0.01%
Vance Aloupis Campaign,2,0.01%
SEIU LOCAL 2015,2,0.01%
"OPEN DOORS WITH BROTHER ANDREW, INC.",2,0.01%
Committee to Elect Dan Forest,2,0.01%
PLANNED PARENTHOOD ADVOCATES MAR MONTE INC,2,0.01%
Congressman Roger Williams,2,0.01%
UNITEDEMOCRATS PAC,2,0.01%
LIFE OUTREACH INTERNATIONAL,2,0.01%
 Committee to Elect Nadia Krall for District Court Judge,2,0.01%
Committee to Re-elect Chief Justice Bridget Mary McCormack,2,0.01%
ANDY LEVIN FOR CONGRESS,2,0.01%
Senate Majority Fund Oklahoma,2,0.01%
Gloucester County Democratic Committee,2,0.01%
PHYSICIANS FOR INFORMED CONSENT,2,0.01%
Solcius,2,0.01%
Credox,2,0.01%
GROW with MKG LLC,2,0.01%
INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,2,0.01%
ProgressNow New Mexico,2,0.01%
The Future We Want. Major Funding by Citizens for Accountable Government. Not authorized by any candidate.,2,0.01%
Ann Wagner for Congress,2,0.01%
Corey Francis Mc Govern,2,0.01%
WarnerMedia LLC,2,0.01%
"OXFAM AMERICA, INC.",2,0.01%
Huntkey USA Inc,2,0.01%
Residents for More Representation,2,0.01%
"Sokolove Law, LLC",2,0.01%
"NO ON PROP 118: HIGHER TAXES, MORE BUREAUCRACY, A LAVISH, NEW PROGRAM DESTINED FOR BANKRUPTCY",2,0.01%
WFP IE COMMITTEE,2,0.01%
Life Issues Institute Inc,2,0.01%
Malala Fund,2,0.01%
Marine Corps Scholarship Foundation,2,0.01%
THIRD WAY,2,0.01%
AMERICAN FEDERATION OF TEACHERS,2,0.01%
Gaspar for Supervisor 2020,2,0.01%
"N. A. A. C. P. LEGAL DEFENSE AND EDUCATIONAL FUND, INC.",2,0.01%
Falkirk Center,2,0.01%
FRIENDS OF ROSA DELAURO,2,0.01%
TIDES ADVOCACY FUND,2,0.01%
Vote to Survive,2,0.01%
One Fair Wage,2,0.01%
Made To Fail,2,0.01%
VOTE VALUES,2,0.01%
DEFEND ARIZONA. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.,2,0.01%
Ad Council with Facebook Ad Credits,2,0.01%
The Friends of Clarence Dass,2,0.01%
Ashley Hinson For Congress,2,0.01%
CSEA ,2,0.01%
AdventHealth,2,0.01%
Texans for Economic Liberty,2,0.01%
United Steelworkers,2,0.01%
Washington State Republican Party,2,0.01%
Committee to Elect Meg Loughran Cappel,2,0.01%
South Carolina Election Commission,2,0.01%
"County of San Mateo, Office of Community Affairs ",2,0.01%
CANDACE FOR 24,2,0.01%
Unite for Colorado Action,2,0.01%
"NATIONAL NETWORK TO END DOMESTIC VIOLENCE, INC.",2,0.01%
Texas Precision Optics Inc,2,0.01%
Pete Flores Campaign,2,0.01%
FINELLO FOR CONGRESS,2,0.01%
Hard Hats For America,2,0.01%
FOX Broadcasting,2,0.01%
American Humane,2,0.01%
America First Credit Union,2,0.01%
Free To Be Kids,2,0.01%
HERITAGE ACTION FOR AMERICA,2,0.01%
American Freedom Fighter,2,0.01%
Building Stronger Communities Action Fund,2,0.01%
Kaminsky for New York,2,0.01%
The Essential Campaign,2,0.01%
Jason Stoffel,2,0.01%
ProgressOhio,2,0.01%
Our Voice Our Vote Arizona PAC,2,0.01%
Folwell Committee,2,0.01%
Committee to Elect Elizabeth Welch for Michigan Supreme Court,2,0.01%
Ruben Major for Oceanside Mayor,2,0.01%
"Ohioans for a Healthy Economy, Inc.",2,0.01%
Minnesota AG Energy Alliance,2,0.01%
"NEON RATED, LLC",2,0.01%
Turning Point Action,2,0.01%
Presidential Playbook,2,0.01%
"Arizona Democratic Legislative Campaign Committee, a project of the Arizona Democratic Party. Not authorized by any candidate or candidate's committee.",2,0.01%
UBS Financial Services ,2,0.01%
Keep Pre-K 4 SA,2,0.01%
McClintock for Congress,2,0.01%
"California Homeowners Association, FPPC ID #1302564",2,0.01%
Keep the Good Life Inc. ,2,0.01%
The San Diego County Democratic Party,2,0.01%
Maryland State Board of Elections,2,0.01%
Centennial Institute,2,0.01%
Fight for Our Heroes,2,0.01%
Mission Neighborhood Centers Inc. ,2,0.01%
U.S. Centers for Disease Control and Prevention with Facebook Ad Credits ,2,0.01%
Consumer Energy Alliance,2,0.01%
TAMMY FOR ILLINOIS,2,0.01%
LIUNA,2,0.01%
Field Team 6,2,0.01%
Friends of Barb Anness,2,0.01%
Catholic Charities,2,0.01%
AJ For State Senate. Authorized by Ajlan AJ Kurdoglu.,2,0.01%
Exercise is Essential for All,2,0.01%
Friends of Frank Dermody,2,0.01%
America2020 Film LLC,2,0.01%
SEIU MN State Council,2,0.01%
CHIP ROY FOR CONGRESS,1,0.00%
Pennsylvania Game Commission,1,0.00%
Law Enforcement for a Safer America PAC,1,0.00%
Chief Justice Jeff Rose,1,0.00%
We The Action,1,0.00%
Byron Michael Laughlin,1,0.00%
"Working Families for Mark Ridley Thomas 2020 Sponsored by Los Angeles County Federation of Labor, AFL-CIO",1,0.00%
Re-Elect Scott Wiener for State Senate 2020. FPPC #1392654.,1,0.00%
Trump Coolers,1,0.00%
Natural Resources Defense Council,1,0.00%
